RepRapFirmware height map file v2 generated at 2022-05-14 14:51, min error -0.322, max error 0.168, mean -0.114, deviation 0.140
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,0.00,298.00,45.00,250.00,-1.00,74.49,51.24,5,5
 -0.294, -0.159, -0.095, -0.067,  0.168
 -0.216, -0.115, -0.005,  0.053,  0.155
 -0.257, -0.168, -0.082, -0.057,  0.137
 -0.289, -0.245, -0.170, -0.130,  0.056
 -0.219, -0.322, -0.261, -0.154, -0.114
